CorrectNote,SelectedNote,PlayAgainCount,time
26,8,1,19:56.2
26,7,1,19:56.7
26,11,1,19:57.5
26,10,1,19:57.9
26,9,1,19:58.3
26,0,1,19:59.3
26,1,1,19:59.7
26,2,1,20:00.1
53,6,0,20:01.5
53,5,0,20:02.1
70,7,1,20:05.0
70,6,1,20:05.4
70,8,1,20:05.7
70,9,1,20:06.1
70,10,1,20:06.5
74,0,0,20:08.2
74,1,0,20:08.7
74,2,0,20:09.2
60,3,0,20:09.6
60,8,0,20:12.4
60,7,0,20:12.9
60,9,0,20:13.3
60,6,0,20:14.3
60,5,0,20:14.7
60,4,0,20:15.2
60,1,0,20:15.9
60,2,0,20:16.4
60,0,0,20:16.9
24,0,0,20:19.1
76,3,0,20:25.2
76,4,0,20:26.0
35,8,1,20:31.0
35,7,1,20:31.6
35,6,1,20:32.0
35,4,1,20:32.3
35,1,1,20:33.2
35,0,1,20:33.6
35,2,1,20:33.9
35,3,1,20:34.2
35,9,1,20:35.0
35,10,1,20:35.3
35,5,1,20:37.0
35,11,1,20:38.0
57,3,1,20:47.5
57,2,1,20:48.1
57,1,1,20:48.5
57,0,1,20:48.9
57,11,1,20:50.4
57,10,1,20:50.7
57,9,1,20:51.1
69,3,1,51:52.0
69,2,1,51:52.6
69,4,1,51:53.5
69,5,1,51:54.2
69,7,1,51:55.0
69,6,1,51:55.5
69,8,1,51:56.0
69,9,1,51:56.5
34,10,0,52:10.4
46,10,0,52:11.7
48,3,0,52:15.9
48,2,0,52:16.5
48,1,0,52:17.3
48,5,0,52:18.1
48,6,0,52:18.6
48,7,0,52:19.1
48,8,0,52:19.6
48,10,0,52:20.2
48,11,0,52:20.8
48,0,0,52:21.9
42,11,0,52:29.9
42,10,0,52:30.7
42,9,0,52:31.7
42,8,0,52:32.3
42,7,0,52:33.4
42,6,0,52:33.9
60,4,0,52:35.6
60,5,0,52:36.6
60,6,0,52:37.4
60,3,0,52:38.0
60,1,0,52:38.5
60,2,0,52:39.0
60,7,0,52:39.7
60,8,0,52:40.4
60,9,0,52:40.8
60,10,0,52:41.4
60,0,0,52:43.2
75,4,1,52:58.1
75,3,1,52:58.6
67,4,2,53:12.4
67,5,2,53:13.3
67,6,2,53:13.9
67,7,2,53:14.6
76,3,0,53:17.7
76,1,0,53:18.5
76,9,0,53:19.8
76,10,0,53:20.1
76,11,0,53:20.7
76,8,0,53:21.4
76,7,0,53:21.9
76,6,0,53:22.3
76,5,0,53:22.6
76,4,0,53:23.0
67,9,1,54:03.2
67,7,1,54:04.9
60,5,0,54:10.8
60,6,0,54:11.4
60,10,1,54:17.5
60,2,2,55:10.2
60,4,2,55:10.8
60,3,2,55:11.2
60,1,2,55:11.8
60,0,2,55:12.1
66,4,0,55:15.5
66,5,0,55:16.2
66,3,0,55:16.6
66,2,0,55:17.1
66,1,0,55:17.5
66,6,0,55:18.3
53,9,3,55:31.8
53,8,3,55:32.2
53,10,3,55:32.7
53,11,3,55:33.0
53,7,3,55:33.7
53,6,3,55:34.3
53,5,3,55:34.8
31,7,15,56:54.3
37,10,7,57:08.9
37,9,7,57:09.5
37,8,7,57:10.2
37,7,7,57:10.8
37,6,7,57:11.2
37,5,7,57:11.6
37,11,7,57:12.6
37,0,7,57:13.7
37,1,7,57:14.3
65,4,1,57:18.7
65,5,1,57:19.6
77,5,0,57:21.5
76,4,0,57:23.6
59,3,3,57:38.4
59,2,3,57:39.1
59,1,3,57:39.6
59,0,3,57:39.9
59,4,3,57:40.6
59,6,3,57:41.9
59,7,3,57:42.4
59,8,3,57:42.9
59,9,3,57:43.6
59,11,3,57:44.3
56,10,9,58:00.1
56,9,9,58:00.6
56,8,9,58:01.1
70,4,1,58:05.1
70,5,1,58:06.0
70,3,1,58:06.8
70,6,1,58:07.7
70,2,1,58:08.4
70,1,1,58:09.1
70,0,1,58:09.6
70,8,4,58:25.4
70,7,4,58:26.0
70,10,4,58:26.9
48,0,3,58:34.3
25,2,8,03:51.8
25,3,8,03:52.4
25,1,8,03:52.9
67,5,3,04:04.2
67,6,3,04:04.8
67,7,3,04:05.3
52,4,0,04:06.5
41,0,15,04:38.7
41,11,15,04:40.0
41,10,15,04:40.5
41,9,15,04:40.8
41,8,15,04:41.3
41,7,15,04:41.6
41,6,15,04:42.0
41,5,15,04:42.4
25,3,5,04:51.7
25,5,5,04:52.3
25,2,5,04:52.8
25,0,5,04:53.3
25,1,5,04:53.8
50,2,10,05:23.3
50,2,0,05:24.2
68,5,0,05:27.8
68,4,0,05:28.5
68,6,0,05:29.0
68,7,0,05:29.5
68,8,0,05:30.0
37,9,0,17:23.5
37,10,0,17:24.7
37,11,0,17:25.3
37,2,0,17:30.3
37,3,0,17:31.5
37,4,0,17:32.6
37,5,0,17:33.3
37,6,0,17:33.9
37,7,0,17:34.4
37,8,0,17:35.1
37,1,0,17:36.8
58,1,0,17:40.1
58,2,0,17:41.1
58,3,0,17:41.8
58,4,0,17:42.6
58,5,0,17:43.1
58,6,0,17:43.7
58,7,0,17:44.2
58,8,0,17:44.9
58,9,0,17:45.3
58,10,0,17:45.8
51,4,0,17:48.9
51,7,0,17:53.8
51,9,0,17:54.8
51,5,0,17:56.4
51,6,0,17:56.7
51,8,0,17:57.2
51,10,0,17:57.8
51,11,0,17:58.3
51,0,0,17:59.5
51,1,0,17:59.9
51,2,0,18:00.4
51,3,0,18:01.4
30,0,0,18:06.7
30,9,0,18:08.2
30,11,0,18:08.9
30,10,0,18:09.5
30,8,0,18:10.2
30,7,0,18:10.7
30,6,0,18:11.1
81,5,0,18:11.4
81,4,0,18:13.1
81,11,0,18:19.7
81,2,0,18:21.9
81,1,0,18:22.6
81,3,0,18:23.3
81,0,0,18:23.8
81,7,0,18:24.8
81,6,0,18:25.3
81,8,0,18:25.9
81,9,0,18:27.3
81,9,0,18:28.2
65,0,2,18:34.7
65,1,2,18:36.1
65,2,2,18:36.8
65,10,2,18:37.9
65,11,2,18:38.2
65,9,2,18:38.9
65,8,2,18:39.2
65,7,2,18:39.6
65,6,2,18:39.9
65,5,2,18:40.2
64,4,0,18:42.9
78,6,3,19:23.4
69,4,0,19:25.7
69,5,0,19:27.1
69,7,0,19:29.9
69,8,0,19:30.8
69,6,0,19:31.7
69,9,0,19:32.3
36,1,5,19:51.2
36,2,5,19:51.9
36,0,5,19:52.8
81,3,0,19:57.0
81,6,0,19:58.4
81,7,0,19:58.9
81,8,0,19:59.3
81,5,0,20:00.2
81,4,0,20:01.0
81,2,0,20:01.8
81,1,0,20:02.2
81,0,0,20:02.7
81,9,0,20:03.5
52,4,3,20:18.9
71,9,3,20:49.2
71,8,3,20:50.0
71,10,3,20:50.5
71,7,3,20:51.2
71,11,3,20:52.0
68,10,0,20:54.3
68,9,0,20:55.0
68,8,0,20:55.7
49,3,0,20:58.6
49,2,0,20:59.1
49,5,0,20:59.5
49,4,0,20:59.9
49,6,0,21:00.7
49,1,0,21:01.7
37,1,0,21:03.4
50,2,0,21:07.4
58,4,0,21:10.5
58,5,0,21:11.1
58,6,0,21:11.7
58,7,0,21:12.2
58,3,0,21:12.9
58,8,0,21:13.7
58,10,0,21:14.3
40,4,0,21:16.3
29,0,2,21:26.4
29,1,4,21:51.1
29,2,4,21:51.9
29,3,4,21:52.3
29,9,4,21:53.5
29,10,4,21:53.9
29,11,4,21:54.2
29,8,4,21:54.9
29,7,4,21:55.3
29,6,4,21:56.1
29,5,4,21:56.7
46,3,3,22:05.3
46,2,3,22:05.9
46,1,3,22:06.3
46,0,3,22:06.5
46,11,3,22:07.5
46,10,3,22:07.8
37,9,0,22:08.2
37,4,6,22:19.3
37,3,6,22:19.7
37,2,6,22:20.2
37,1,6,22:20.7
80,4,0,22:22.4
80,5,0,22:23.5
80,6,0,22:24.0
80,7,0,22:24.5
80,8,0,22:24.9
24,9,0,22:25.2
24,1,0,22:26.7
24,2,0,22:27.1
24,3,0,22:27.4
24,4,0,22:28.1
24,0,0,22:28.7
55,5,0,22:35.1
55,6,0,22:36.1
55,7,0,22:36.8
66,4,0,22:39.7
66,5,0,22:40.3
66,6,0,22:40.7
27,4,16,23:13.9
27,2,16,23:14.3
27,1,16,23:14.6
27,3,16,23:15.1
80,9,5,35:30.7
80,7,5,35:31.6
80,11,5,35:32.3
80,10,5,35:33.6
80,8,5,35:34.3
40,4,1,35:43.9
59,11,0,35:57.6
48,5,1,36:09.8
48,6,1,36:10.5
48,7,1,36:11.0
48,8,1,36:11.5
48,9,1,36:11.9
48,10,1,36:12.4
48,11,1,36:12.8
48,3,1,36:14.3
48,2,1,36:14.8
48,1,1,36:15.2
48,0,1,36:15.6
27,0,0,36:18.5
27,4,0,36:20.2
27,2,0,36:21.2
27,11,0,36:22.4
27,9,0,36:23.1
27,10,0,36:23.6
27,8,0,36:24.1
27,7,0,36:24.4
27,6,0,36:24.8
27,5,0,36:25.1
27,3,0,36:25.9
55,4,0,36:27.2
55,5,0,36:28.0
55,6,0,36:28.6
55,7,0,36:29.0
77,10,2,36:37.4
77,9,2,36:37.7
77,8,2,36:38.0
77,7,2,36:38.5
77,11,2,36:39.1
77,6,2,36:39.9
77,5,2,36:40.4
75,4,0,36:40.7
75,3,0,36:42.4
83,8,0,36:44.6
83,10,0,36:45.2
83,6,0,36:45.9
83,11,0,36:46.7
67,4,0,36:48.6
67,5,0,36:49.4
67,6,0,36:50.0
67,3,0,36:50.5
67,7,0,36:51.2
45,3,0,36:55.8
45,2,0,36:56.6
45,0,0,36:57.2
45,1,0,36:57.6
45,5,0,36:58.9
45,6,0,36:59.3
45,7,0,36:59.9
45,8,0,37:00.3
45,9,0,37:00.6
80,3,1,37:17.3
80,2,1,37:17.7
80,1,1,37:18.1
80,0,1,37:18.4
80,10,1,37:19.6
80,9,1,37:20.3
80,8,1,37:20.7
54,6,14,39:01.4
48,0,1,39:17.1
29,0,1,39:36.7
29,2,1,39:37.3
29,4,1,39:38.0
29,5,1,39:38.4
73,4,3,39:47.6
73,5,3,39:48.1
73,6,3,39:48.6
73,7,3,39:49.0
73,3,3,39:49.6
73,2,3,39:50.0
73,1,3,39:50.4
37,1,3,41:06.6
75,4,1,41:10.6
75,5,1,41:11.5
75,6,1,41:12.0
75,7,1,41:12.5
75,9,1,41:13.2
75,8,1,41:13.7
75,10,1,41:14.1
75,11,1,41:14.5
75,3,1,41:15.3
71,11,12,41:33.8
26,1,9,42:51.6
26,0,9,42:52.2
26,2,9,42:52.7
73,4,1,42:55.4
73,5,1,42:56.3
73,6,1,42:56.9
73,2,13,43:09.1
73,3,13,43:09.5
73,1,13,43:10.1
61,1,0,43:12.8
64,2,0,43:15.1
64,3,0,43:15.8
64,4,0,43:16.4
82,2,0,43:18.8
82,3,0,43:19.7
82,5,0,43:20.8
82,6,0,43:21.3
82,4,0,43:21.6
82,7,0,43:22.1
82,8,0,43:22.5
82,9,0,43:23.0
82,10,0,43:23.3
79,7,0,04:04.3
53,9,0,04:20.3
53,10,0,04:21.0
53,8,0,04:21.6
53,11,0,04:22.8
53,0,0,04:23.8
53,1,0,04:24.3
53,2,0,04:24.8
53,5,0,04:25.4
51,4,0,04:28.3
51,3,0,04:29.0
32,0,2,05:23.2
32,1,2,05:23.8
32,2,2,05:24.3
32,3,2,05:24.9
32,10,2,05:26.2
32,9,2,05:26.7
32,8,2,05:27.4
27,4,0,26:44.8
27,5,0,26:45.8
27,9,0,26:46.7
27,7,0,26:47.8
27,8,0,27:02.6
27,10,0,27:03.2
27,6,0,27:04.1
27,11,0,27:04.8
27,0,0,27:05.9
27,1,0,27:06.4
27,2,0,27:06.7
27,3,0,27:07.1
65,5,6,27:26.0
68,9,7,27:39.8
68,10,7,27:40.6
68,8,7,27:41.1
40,4,4,27:56.7
63,4,5,28:17.5
63,5,5,28:18.3
63,3,5,28:18.9
80,9,8,28:38.6
80,10,8,28:39.2
80,11,8,28:39.9
80,8,8,28:40.3
79,9,19,29:30.9
79,10,19,29:31.6
79,8,19,29:32.3
79,11,19,29:33.1
79,0,19,29:34.2
79,1,19,29:34.7
79,7,19,29:35.6
75,2,1,29:45.7
75,3,1,29:46.3
53,11,2,30:02.2
53,10,2,30:03.1
53,9,2,30:03.7
53,8,2,30:04.4
53,7,2,30:04.9
53,6,2,30:05.4
53,5,2,30:06.1
33,8,13,31:56.1
33,9,13,31:56.7
61,0,5,32:23.6
61,11,5,32:25.0
61,9,5,32:26.0
61,10,5,32:26.4
61,1,5,32:27.2
53,4,1,32:31.8
53,5,1,32:32.7
41,4,0,32:33.9
41,5,0,32:34.6
60,0,14,33:48.8
27,2,11,34:52.1
27,3,11,34:52.5
77,6,4,37:07.3
77,8,4,37:09.7
77,9,4,37:10.3
77,7,4,37:10.8
77,10,4,37:11.6
77,11,4,37:12.0
77,0,4,37:13.0
77,1,4,37:13.4
77,2,4,37:13.9
77,3,4,37:14.3
77,5,4,37:14.8
59,4,2,37:20.6
59,5,2,37:21.4
59,3,2,37:21.9
59,2,2,37:22.5
59,7,2,37:23.1
59,6,2,37:23.5
59,9,6,37:57.4
59,8,6,37:58.2
59,10,6,37:59.6
59,11,6,38:00.2
37,11,2,42:37.0
37,0,2,42:38.4
37,1,2,42:38.9
82,7,3,43:00.8
82,8,3,43:01.5
82,9,3,43:01.8
82,6,3,43:02.3
82,5,3,43:02.9
82,10,3,43:03.5
75,11,2,10:40.7
75,0,2,10:41.7
75,1,2,10:42.3
75,2,2,10:42.9
75,3,2,10:43.4
49,3,1,10:48.3
49,2,1,10:49.0
49,1,1,10:49.5
82,0,0,10:49.8
82,4,0,10:52.4
82,5,0,10:53.1
82,6,0,10:53.4
82,7,0,10:53.8
82,8,0,10:54.3
82,9,0,10:54.8
82,10,0,10:55.2
63,11,0,10:55.5
63,4,0,10:56.8
63,3,0,10:58.2
54,2,6,11:16.8
54,3,6,11:17.6
54,4,6,11:18.0
54,0,6,11:18.9
54,1,6,11:19.3
54,7,6,11:20.3
54,9,6,11:20.9
54,10,6,11:21.6
54,11,6,11:21.9
54,8,6,11:22.8
54,6,6,11:23.5
83,0,0,11:28.1
83,11,0,11:29.0
41,6,5,12:27.1
41,5,5,12:27.7
80,4,6,13:34.6
80,5,6,13:35.3
80,3,6,13:35.8
80,6,6,13:36.3
80,2,6,13:37.0
80,1,6,13:37.4
80,7,6,13:38.2
80,8,6,13:38.7
80,8,0,13:40.5
47,7,2,13:51.8
47,5,2,13:52.6
47,6,2,13:52.9
47,9,2,13:53.7
47,10,2,13:54.1
47,11,2,13:54.4
43,0,0,14:02.4
43,2,0,14:03.2
43,4,0,14:03.8
43,5,0,14:04.3
43,6,0,14:04.7
43,7,0,14:05.1
33,9,6,14:48.1
51,3,1,15:01.7
40,0,13,15:37.7
40,11,13,15:38.8
40,10,13,15:39.4
40,9,13,15:39.9
40,1,13,15:40.8
40,2,13,15:41.2
40,8,13,15:42.3
40,7,13,15:42.7
40,6,13,15:43.2
40,5,13,15:43.8
40,3,13,15:44.5
40,4,15,15:48.4
49,11,18,17:47.6
49,10,18,17:48.1
49,9,18,17:48.4
49,8,18,17:48.8
49,7,18,17:49.2
49,0,18,17:50.1
49,1,18,17:50.6
51,4,2,18:00.8
51,3,2,18:01.6
44,2,15,19:04.3
44,3,15,19:04.9
44,1,15,19:05.6
44,0,15,19:06.1
44,4,15,19:07.0
44,5,15,19:07.3
44,11,15,19:08.4
44,10,15,19:08.8
44,9,15,19:09.1
44,8,15,19:09.5
35,11,5,21:25.3
26,2,2,21:44.6
68,4,0,21:47.3
68,5,0,21:48.0
68,6,0,21:48.6
68,7,0,21:49.0
68,8,0,21:49.4
30,6,14,23:12.1
45,11,10,23:37.4
45,0,10,23:38.7
45,1,10,23:39.4
45,2,10,23:39.7
45,3,10,23:40.0
45,4,10,23:40.3
45,5,10,23:40.7
45,6,10,23:41.0
45,7,10,23:41.4
45,8,10,23:41.8
45,9,10,23:42.2
42,6,0,23:44.5
24,11,31,25:02.0
24,10,31,25:02.4
24,0,31,25:03.6
48,4,3,25:13.2
48,5,3,25:13.8
48,6,3,25:14.4
48,3,3,25:15.1
48,2,3,25:15.5
48,7,3,25:16.5
48,8,3,25:17.0
48,9,3,25:17.5
48,10,3,25:17.9
48,11,3,25:18.6
48,1,3,25:19.5
48,0,3,25:20.6
26,2,0,25:23.2
59,4,6,25:35.5
59,0,13,25:46.6
59,1,13,25:47.3
59,11,13,25:48.3
45,4,0,25:54.5
45,5,0,25:55.0
45,6,0,25:55.4
45,7,0,25:55.8
45,8,0,25:56.2
45,9,0,25:56.5
31,10,0,25:56.8
31,9,2,27:23.1
31,8,2,27:24.0
31,7,2,27:24.5
30,6,0,27:27.8
45,9,2,29:11.0
54,5,23,29:42.5
54,6,23,29:42.9
55,4,0,29:43.3
55,6,6,29:54.9
55,7,6,29:55.5
58,9,1,29:59.0
58,10,1,29:59.6
45,6,1,30:06.9
45,5,1,30:07.4
45,7,1,30:07.9
45,4,1,30:08.6
45,3,1,30:09.1
45,2,1,30:09.5
45,1,1,30:09.9
45,8,1,30:10.9
45,9,1,30:11.2
46,10,0,30:13.1
44,6,1,30:21.0
44,5,1,30:21.6
44,8,1,30:22.1
78,7,0,30:22.5
78,5,1,30:48.5
78,6,1,30:49.0
69,10,14,31:39.5
69,11,14,31:40.0
69,0,14,31:41.0
69,1,14,31:41.5
69,9,14,31:42.3
36,0,8,32:16.6
82,4,1,32:48.1
82,3,1,32:48.6
82,2,1,32:49.1
82,5,1,32:50.1
82,1,2,32:51.8
82,0,2,32:52.1
82,6,2,32:52.7
82,7,2,32:53.0
82,8,2,32:53.4
82,9,2,32:53.7
82,10,2,32:54.2
80,7,0,32:58.0
80,6,0,32:58.4
80,4,0,32:59.1
80,5,0,32:59.5
80,9,0,33:00.2
80,8,0,33:00.8
82,9,0,33:01.9
82,10,0,33:02.4
35,0,0,2023-08-27 23:13:31.123496
35,1,0,2023-08-27 23:13:31.780371
35,2,0,2023-08-27 23:13:32.284334
35,9,0,2023-08-27 23:13:33.332474
35,10,0,2023-08-27 23:13:33.732479
35,11,0,2023-08-27 23:13:34.012312
71,11,0,2023-08-27 23:13:37.284319
72,0,0,2023-08-27 23:13:39.436498
66,9,0,2023-08-27 23:13:46.732293
66,8,0,2023-08-27 23:13:47.252483
66,10,0,2023-08-27 23:13:47.820261
66,7,0,2023-08-27 23:13:48.460293
66,6,0,2023-08-27 23:13:48.996312
24,0,1,2023-08-27 23:13:58.940161
51,3,0,2023-08-27 23:14:04.660407
66,4,1,2023-08-27 23:14:09.301460
66,5,1,2023-08-27 23:14:10.244460
66,6,1,2023-08-27 23:14:10.781439
53,4,1,2023-08-27 23:14:15.557269
53,5,1,2023-08-27 23:14:16.452452
24,0,0,2023-08-27 23:14:18.877158
79,3,13,2023-08-27 23:14:41.493282
79,4,13,2023-08-27 23:14:42.125102
79,2,13,2023-08-27 23:14:42.677240
79,1,13,2023-08-27 23:14:43.077364
79,0,13,2023-08-27 23:14:43.420802
79,5,13,2023-08-27 23:14:43.972422
79,6,13,2023-08-27 23:14:44.301407
79,7,13,2023-08-27 23:14:44.549246
44,4,1,2023-08-27 23:14:47.997089
44,5,1,2023-08-27 23:14:49.485418
44,3,1,2023-08-27 23:14:50.597409
44,0,2,2023-08-27 23:14:58.229241
44,1,2,2023-08-27 23:14:58.789245
44,2,2,2023-08-27 23:14:59.317391
44,11,2,2023-08-27 23:15:00.093408
44,10,2,2023-08-27 23:15:00.653318
44,9,2,2023-08-27 23:15:01.101432
44,8,2,2023-08-27 23:15:01.485233
28,4,17,2023-08-27 23:15:48.677190
26,0,1,2023-08-27 23:15:55.540626
26,1,1,2023-08-27 23:15:56.117172
26,2,1,2023-08-27 23:15:56.525176
43,4,2,2023-08-27 23:16:01.925234
43,5,2,2023-08-27 23:16:02.517156
43,6,2,2023-08-27 23:16:02.925088
43,7,2,2023-08-27 23:16:03.277054
64,4,0,2023-08-27 23:16:04.573314
34,2,27,2023-08-27 23:17:06.041278
34,11,27,2023-08-27 23:17:07.945276
34,0,27,2023-08-27 23:17:09.194297
34,4,27,2023-08-27 23:17:10.865364
34,5,27,2023-08-27 23:17:11.337808
34,3,27,2023-08-27 23:17:11.858061
34,1,27,2023-08-27 23:17:12.338105
34,10,27,2023-08-27 23:17:13.305875
25,6,5,2023-08-27 23:17:44.546103
25,5,5,2023-08-27 23:17:45.050219
25,7,5,2023-08-27 23:17:45.602242
25,8,5,2023-08-27 23:17:45.954108
25,4,5,2023-08-27 23:17:46.786070
25,3,5,2023-08-27 23:17:47.242080
25,2,5,2023-08-27 23:17:47.642129
25,1,5,2023-08-27 23:17:48.145868
73,4,0,2023-08-27 23:17:49.833217
73,5,0,2023-08-27 23:17:50.857501
73,6,0,2023-08-27 23:17:51.266897
73,7,0,2023-08-27 23:17:51.753232
73,8,0,2023-08-27 23:17:52.281231
73,3,0,2023-08-27 23:17:53.346636
73,2,0,2023-08-27 23:17:53.858803
73,9,0,2023-08-27 23:17:55.626233
73,10,0,2023-08-27 23:17:56.114190
73,11,0,2023-08-27 23:17:56.570164
73,1,0,2023-08-27 23:17:57.538051
63,0,0,2023-08-27 23:18:05.259036
63,11,0,2023-08-27 23:18:06.299055
63,10,0,2023-08-27 23:18:06.851045
63,9,0,2023-08-27 23:18:07.234217
63,8,0,2023-08-27 23:18:07.675070
63,7,0,2023-08-27 23:18:08.177955
63,6,0,2023-08-27 23:18:08.667030
63,5,0,2023-08-27 23:18:09.169922
63,4,0,2023-08-27 23:18:09.651045
63,3,0,2023-08-27 23:18:10.259035
66,5,0,2023-08-27 23:18:14.563212
66,6,0,2023-08-27 23:18:15.035044
40,4,9,2023-08-27 23:18:45.350996
47,9,0,2023-08-27 23:19:11.374967
47,4,1,2023-08-27 23:19:16.951146
47,5,1,2023-08-27 23:19:17.959145
47,7,1,2023-08-27 23:19:19.294578
47,11,1,2023-08-27 23:19:20.432125
24,0,2,2023-08-27 23:19:28.344136
48,11,7,2023-08-27 23:19:58.503451
48,0,7,2023-08-27 23:19:59.599697
64,4,0,2023-08-27 23:20:01.231398
49,0,0,2023-08-27 23:20:03.207925
49,1,0,2023-08-27 23:20:03.711098
55,2,2,2023-08-27 23:20:09.792094
55,1,2,2023-08-27 23:20:10.255092
55,0,2,2023-08-27 23:20:10.679926
55,3,2,2023-08-27 23:20:11.104036
55,4,2,2023-08-27 23:20:11.407722
55,5,2,2023-08-27 23:20:11.671843
55,6,2,2023-08-27 23:20:11.943844
55,7,2,2023-08-27 23:20:12.328092
68,8,0,2023-08-27 23:20:12.639069
